country,year,value,variable,GCM,SRES,iso
Cote dIvoire,2014,0.779352634,HDD,CCSM3x,A2,civ
Oman,2014,73.17860469,HDD,CCSM3x,A2,omn
Italy,2014,3944.652988,HDD,CCSM3x,A2,ita
Poland,2014,6200.397605,HDD,CCSM3x,A2,pol
New Zealand,2014,2731.890427,HDD,CCSM3x,A2,nzl
Burkina Faso,2014,0.37171822,HDD,CCSM3x,A2,bfa
United Kingdom,2014,5263.597475,HDD,CCSM3x,A2,gbr
Gabon,2014,1.060950257,HDD,CCSM3x,A2,gab
Ecuador,2014,1128.116761,HDD,CCSM3x,A2,ecu
Guinea,2014,0.066425679,HDD,CCSM3x,A2,gin
Ghana,2014,0.597622179,HDD,CCSM3x,A2,gha
Romania,2014,5474.796038,HDD,CCSM3x,A2,rom
Laos,2014,130.9824361,HDD,CCSM3x,A2,lao
Uganda,2014,43.30394841,HDD,CCSM3x,A2,uga
Guyana,2014,0.297418457,HDD,CCSM3x,A2,guy
Belarus,2014,7129.650967,HDD,CCSM3x,A2,blr
Senegal,2014,0.092311883,HDD,CCSM3x,A2,sen
Kyrgyzstan,2014,8468.778406,HDD,CCSM3x,A2,kgz
Syria,2014,2364.953504,HDD,CCSM3x,A2,syr
Cambodia,2014,0.392082993,HDD,CCSM3x,A2,khm
Uruguay,2014,1622.194637,HDD,CCSM3x,A2,ury
Greece,2014,3003.621378,HDD,CCSM3x,A2,grc
Tunisia,2014,1536.6998,HDD,CCSM3x,A2,tun
Suriname,2014,0.011304612,HDD,CCSM3x,A2,sur
Nepal,2014,1634.722884,HDD,CCSM3x,A2,npl
Bangladesh,2014,38.33956859,HDD,CCSM3x,A2,bgd
Tajikistan,2014,5357.539636,HDD,CCSM3x,A2,tjk
Cuba,2014,9.196586942,HDD,CCSM3x,A2,cub
North Korea,2014,6790.575789,HDD,CCSM3x,A2,prk
Eritrea,2014,68.70052033,HDD,CCSM3x,A2,eri
Nicaragua,2014,1.876165538,HDD,CCSM3x,A2,nic
Honduras,2014,16.24370315,HDD,CCSM3x,A2,hnd
Benin,2014,0.041969026,HDD,CCSM3x,A2,ben
South Korea,2014,4753.945115,HDD,CCSM3x,A2,kor
Bulgaria,2014,5467.718657,HDD,CCSM3x,A2,bgr
Guatemala,2014,253.8668491,HDD,CCSM3x,A2,gtm
Iceland,2014,8512.509178,HDD,CCSM3x,A2,isl
Serbia and Montenegro,2014,5052.034549,HDD,CCSM3x,A2,mne
Malawi,2014,105.8831671,HDD,CCSM3x,A2,mwi
Liberia,2014,0.362024512,HDD,CCSM3x,A2,lbr
Portugal,2014,2076.357152,HDD,CCSM3x,A2,prt
Hungary,2014,5254.018712,HDD,CCSM3x,A2,hun
Jordan,2014,1721.667185,HDD,CCSM3x,A2,jor
Azerbaijan,2014,4466.607889,HDD,CCSM3x,A2,aze
Panama,2014,0.592590281,HDD,CCSM3x,A2,pan
French Guiana,2014,0.00927008,HDD,CCSM3x,A2,guf
Austria,2014,6134.425258,HDD,CCSM3x,A2,aut
United Arab Emirates,2014,124.0272235,HDD,CCSM3x,A2,are
Czech Republic,2014,6161.470238,HDD,CCSM3x,A2,cze
Ireland,2014,5298.364144,HDD,CCSM3x,A2,irl
Sierra Leone,2014,0.238807327,HDD,CCSM3x,A2,sle
Sri Lanka,2014,0.124197342,HDD,CCSM3x,A2,lka
Georgia,2014,5576.899148,HDD,CCSM3x,A2,geo
Latvia,2014,7191.473729,HDD,CCSM3x,A2,lva
Lithuania,2014,7019.892546,HDD,CCSM3x,A2,ltu
Croatia,2014,4723.445792,HDD,CCSM3x,A2,hrv
Togo,2014,0.183977859,HDD,CCSM3x,A2,tgo
Costa Rica,2014,25.80199215,HDD,CCSM3x,A2,cri
Denmark,2014,956.6224481,HDD,CCSM3x,A2,dnk
Dominican Republic,2014,10.04989511,HDD,CCSM3x,A2,dom
Bosnia &#38; Herzegovina,2014,5664.612899,HDD,CCSM3x,A2,bih
Slovakia,2014,6262.314899,HDD,CCSM3x,A2,svk
Estonia,2014,7296.424441,HDD,CCSM3x,A2,est
Solomon Is.,2014,0.107044335,HDD,CCSM3x,A2,slb
Switzerland,2014,6535.921125,HDD,CCSM3x,A2,che
Taiwan,2014,1161.416148,HDD,CCSM3x,A2,twn
Bhutan,2014,4514.089292,HDD,CCSM3x,A2,btn
Netherlands,2014,4507.097134,HDD,CCSM3x,A2,nld
Guinea-Bissau,2014,0.00519212,HDD,CCSM3x,A2,gnb
Moldova,2014,5651.642669,HDD,CCSM3x,A2,mda
Haiti,2014,0,HDD,CCSM3x,A2,hti
Belgium,2014,5003.674864,HDD,CCSM3x,A2,bel
Lesotho,2014,3964.531728,HDD,CCSM3x,A2,lso
Albania,2014,3925.630983,HDD,CCSM3x,A2,alb
Fiji,2014,0.561795533,HDD,CCSM3x,A2,fji
Armenia,2014,6961.29914,HDD,CCSM3x,A2,arm
